Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Trondheim - Voll Plu;SN68863;11.09.2025;20,7
Stavanger - Våland;SN44640;11.09.2025;19,7
Bergen - Florida;SN50540;11.09.2025;22
Bergen - Florida Uib;SN50539;11.09.2025;22,1
Bjørnholt;SN18500;12.09.2025;13,5
Oslo - Blindern;SN18700;12.09.2025;17,2
Oslo - Bygdøy Ii;SN18810;12.09.2025;17,7
Oslo - Hovin;SN18210;12.09.2025;16,4
Tryvannshøgda;SN18950;12.09.2025;13,1
Trondheim - Voll;SN68860;12.09.2025;19,7
Trondheim - Voll Plu;SN68863;12.09.2025;19,6
Stavanger - Våland;SN44640;12.09.2025;17,3
Bergen - Florida;SN50540;12.09.2025;15,8
Bergen - Florida Uib;SN50539;12.09.2025;15,8
Bjørnholt;SN18500;13.09.2025;12,4
Oslo - Blindern;SN18700;13.09.2025;15
Oslo - Bygdøy Ii;SN18810;13.09.2025;15,3
Oslo - Hovin;SN18210;13.09.2025;15,1
Tryvannshøgda;SN18950;13.09.2025;11,2
Trondheim - Voll;SN68860;13.09.2025;18
Trondheim - Voll Plu;SN68863;13.09.2025;18,1
Stavanger - Våland;SN44640;13.09.2025;16,7
Bergen - Florida;SN50540;13.09.2025;17,2
Bergen - Florida Uib;SN50539;13.09.2025;17,2
Bjørnholt;SN18500;14.09.2025;12,2
Oslo - Blindern;SN18700;14.09.2025;14,7
Oslo - Bygdøy Ii;SN18810;14.09.2025;15,4
Oslo - Hovin;SN18210;14.09.2025;15,2
Tryvannshøgda;SN18950;14.09.2025;11,1
Trondheim - Voll;SN68860;14.09.2025;18,7
Trondheim - Voll Plu;SN68863;14.09.2025;18,8
Stavanger - Våland;SN44640;14.09.2025;17,7
Bergen - Florida;SN50540;14.09.2025;18
Bergen - Florida Uib;SN50539;14.09.2025;18,2
Bjørnholt;SN18500;15.09.2025;11,5
Oslo - Blindern;SN18700;15.09.2025;14
Oslo - Bygdøy Ii;SN18810;15.09.2025;14,6
Oslo - Hovin;SN18210;15.09.2025;14,1
Tryvannshøgda;SN18950;15.09.2025;10,1
Trondheim - Voll;SN68860;15.09.2025;18,3
Trondheim - Voll Plu;SN68863;15.09.2025;18,4
Stavanger - Våland;SN44640;15.09.2025;16,4
Bergen - Florida;SN50540;15.09.2025;16,5
Bergen - Florida Uib;SN50539;15.09.2025;16,5
Bjørnholt;SN18500;16.09.2025;16,9
Oslo - Blindern;SN18700;16.09.2025;18,1
Oslo - Bygdøy Ii;SN18810;16.09.2025;17,9
Oslo - Hovin;SN18210;16.09.2025;17
Tryvannshøgda;SN18950;16.09.2025;12,9
Trondheim - Voll;SN68860;16.09.2025;17
Trondheim - Voll Plu;SN68863;16.09.2025;16,9
Stavanger - Våland;SN44640;16.09.2025;16
Bergen - Florida;SN50540;16.09.2025;13,7
