Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Bergen - Florida;SN50540;20.09.2016;20,2
Bjørnholt;SN18500;21.09.2016;15,7
Oslo - Blindern;SN18700;21.09.2016;17,2
Oslo - Hovin;SN18210;21.09.2016;18,6
Tryvannshøgda;SN18950;21.09.2016;14,8
Trondheim - Voll;SN68860;21.09.2016;17,2
Stavanger - Våland;SN44640;21.09.2016;19,8
Bergen - Florida;SN50540;21.09.2016;20,5
Bjørnholt;SN18500;22.09.2016;13,7
Oslo - Blindern;SN18700;22.09.2016;15,4
Oslo - Hovin;SN18210;22.09.2016;16,6
Tryvannshøgda;SN18950;22.09.2016;12,7
Trondheim - Voll;SN68860;22.09.2016;17,1
Stavanger - Våland;SN44640;22.09.2016;17,3
Bergen - Florida;SN50540;22.09.2016;17,7
Bjørnholt;SN18500;23.09.2016;13,4
Oslo - Blindern;SN18700;23.09.2016;13,9
Oslo - Hovin;SN18210;23.09.2016;16,4
Tryvannshøgda;SN18950;23.09.2016;12,2
Trondheim - Voll;SN68860;23.09.2016;16,1
Stavanger - Våland;SN44640;23.09.2016;15,9
Bergen - Florida;SN50540;23.09.2016;15,7
Bjørnholt;SN18500;24.09.2016;13,9
Oslo - Blindern;SN18700;24.09.2016;15,5
Oslo - Hovin;SN18210;24.09.2016;17
Tryvannshøgda;SN18950;24.09.2016;10,8
Trondheim - Voll;SN68860;24.09.2016;14,8
Stavanger - Våland;SN44640;24.09.2016;17
Bergen - Florida;SN50540;24.09.2016;16,8
Bjørnholt;SN18500;25.09.2016;17
Oslo - Blindern;SN18700;25.09.2016;18,7
Oslo - Hovin;SN18210;25.09.2016;20
Tryvannshøgda;SN18950;25.09.2016;14,4
Trondheim - Voll;SN68860;25.09.2016;18
Stavanger - Våland;SN44640;25.09.2016;21,8
Bergen - Florida;SN50540;25.09.2016;22,3
Bjørnholt;SN18500;26.09.2016;17,5
Oslo - Blindern;SN18700;26.09.2016;19,6
Oslo - Hovin;SN18210;26.09.2016;20,2
Tryvannshøgda;SN18950;26.09.2016;13,1
Trondheim - Voll;SN68860;26.09.2016;16,8
Stavanger - Våland;SN44640;26.09.2016;18,2
Bergen - Florida;SN50540;26.09.2016;20,1
Bjørnholt;SN18500;27.09.2016;13,8
Oslo - Blindern;SN18700;27.09.2016;15,6
Oslo - Hovin;SN18210;27.09.2016;17,5
Tryvannshøgda;SN18950;27.09.2016;12,1
Trondheim - Voll;SN68860;27.09.2016;15,1
Stavanger - Våland;SN44640;27.09.2016;15,5
Bergen - Florida;SN50540;27.09.2016;13,9
Bjørnholt;SN18500;28.09.2016;15,6
Oslo - Blindern;SN18700;28.09.2016;17,1
Oslo - Hovin;SN18210;28.09.2016;18,4
Trondheim - Voll;SN68860;28.09.2016;15,4
Stavanger - Våland;SN44640;28.09.2016;14,2
Bergen - Florida;SN50540;28.09.2016;14,3
Bjørnholt;SN18500;29.09.2016;15,1
Oslo - Blindern;SN18700;29.09.2016;18,2
Oslo - Hovin;SN18210;29.09.2016;18,7
Trondheim - Voll;SN68860;29.09.2016;11,3
Stavanger - Våland;SN44640;29.09.2016;15,8
Bergen - Florida;SN50540;29.09.2016;14,8
Bjørnholt;SN18500;30.09.2016;12,9
Oslo - Blindern;SN18700;30.09.2016;14,2
Oslo - Hovin;SN18210;30.09.2016;15,6
Trondheim - Voll;SN68860;30.09.2016;12,1
Stavanger - Våland;SN44640;30.09.2016;12,8
Bergen - Florida;SN50540;30.09.2016;11
Bjørnholt;SN18500;01.10.2016;13,6
Oslo - Blindern;SN18700;01.10.2016;15
Oslo - Hovin;SN18210;01.10.2016;16,2
Trondheim - Voll;SN68860;01.10.2016;8,9
Stavanger - Våland;SN44640;01.10.2016;14,2
Bergen - Florida;SN50540;01.10.2016;13,6
Bjørnholt;SN18500;02.10.2016;12,4
Oslo - Blindern;SN18700;02.10.2016;13,5
Oslo - Hovin;SN18210;02.10.2016;14,5
Trondheim - Voll;SN68860;02.10.2016;9,6
Stavanger - Våland;SN44640;02.10.2016;16
Bergen - Florida;SN50540;02.10.2016;16,2
Bjørnholt;SN18500;03.10.2016;13,2
Oslo - Blindern;SN18700;03.10.2016;13,7
Oslo - Hovin;SN18210;03.10.2016;14,6
Trondheim - Voll;SN68860;03.10.2016;9
Stavanger - Våland;SN44640;03.10.2016;16
Bergen - Florida;SN50540;03.10.2016;17
Bjørnholt;SN18500;04.10.2016;11,1
